"","Tweets","Language","Follower","favourites_count","friends_count","statuses_count","time_zone","id_str","location","coordinates","retweet_count","id_str_tweet","in_reply_to_status_id_str","Weekday","Month","DayOfMonth","Hour","Min","Sec","Timezone","Year"
"65","RT @alecbaldwin: Celebrate Paul Newman's legacy and commitment to clean water by visiting
http://t.co/vuIlDE5g","en","1626","4","264","1549","Quito","138471944","East Coast ",NA,"31","172053852357541890",NA,"Tue","Feb","21","20","23","29","+0000","2012"
"66","@becburnage To say I got carried away is an understatment. Hahaaa, owning that floor bby gurl &lt;3","en","121","0","106","530",NA,"386587282","Coalville, Leicester",NA,"0","172438826533392384","172438283412963328","Wed","Feb","22","21","53","14","+0000","2012"
"67","@arianecbrown trying to find Adam and Garth's ""drink your milkshake"" thing on youtube! It's nowhere to be found! #travesty","en","46","1","148","521",NA,"21621923","Duns",NA,"0","172789948494258177",NA,"Thu","Feb","23","21","08","28","+0000","2012"
"68","RT @alecbaldwin: Obama....2012","en","278","6","84","1179","Pacific Time (US & Canada)","23303643","las vegas",NA,"479","172917027508453376",NA,"Fri","Feb","24","05","33","26","+0000","2012"
"69","RT @alecbaldwin: This Winter has made me want to cry. I like a real Winter. I like it when that wind on 72nd and Riverside bites me on t ...","en","20","2","87","673","Central Time (US & Canada)","239982256","",NA,"1","173049454272851970",NA,"Fri","Feb","24","14","19","39","+0000","2012"
"70","RT @alecbaldwin: I heard a child say today that it's raining in NY bc God is crying over how lame the GOP debates were.
No...I made that up.","en","99","9","241","783","Eastern Time (US & Canada)","27028273","South Jersey",NA,"41","173055015919943681",NA,"Fri","Feb","24","14","41","45","+0000","2012"
"71","RT @alecbaldwin: I heard a child say today that it's raining in NY bc God is crying over how lame the GOP debates were.
No...I made that up.","en","22","1","114","58","Central Time (US & Canada)","391665895","",NA,"84","173055347261587456",NA,"Fri","Feb","24","14","43","04","+0000","2012"
"72","RT @alecbaldwin: I heard a child say today that it's raining in NY bc God is crying over how lame the GOP debates were.
No...I made that up.","en","525","1","557","8420","Eastern Time (US & Canada)","22015936","ÜT: 29.61621,-82.344728",NA,"115","173055829631696896",NA,"Fri","Feb","24","14","44","59","+0000","2012"
"73","RT @alecbaldwin: I heard a child say today that it's raining in NY bc God is crying over how lame the GOP debates were.
No...I made that up.","en","116","112","351","4448",NA,"400775427","EARTH",NA,"130","173056064521109504",NA,"Fri","Feb","24","14","45","55","+0000","2012"
"74","@alecbaldwin If you could call, I could go to FL with my family to see Phillies Spring Training! 97.5 phanatic philly sports,215-263-0975","en","204","47","388","4259","Eastern Time (US & Canada)","172326259","Outside Philly, PA",NA,"0","173178764686135296","173178359205990400","Fri","Feb","24","22","53","29","+0000","2012"
"75","@alecbaldwin What is your favourite piece of literature that has been adapted into the Movies ?","en","1219","44","2002","11875",NA,"83639769","Kingston Upon Hull, England",NA,"0","173180266221801472","173179226038611970","Fri","Feb","24","22","59","27","+0000","2012"
"76","RT @louisthoughts: http://t.co/f871necb best interview in a long time..","en","596","30","401","2784",NA,"436792030","",NA,"1","173180467548389376",NA,"Fri","Feb","24","23","00","15","+0000","2012"
"77","@sedaenginkara onu hep yapiyorum ama bende astim var mecburen ilac :(","en","2685","15","832","15478","Greenland","90222272","izmir",NA,"0","173308213465333760","173308137116401664","Sat","Feb","25","07","27","52","+0000","2012"
